SimpleITK Filter,Category
AbsImageFilter,Slice-wise
AbsoluteValueDifferenceImageFilter,Slice-wise
AcosImageFilter,Slice-wise
AdaptiveHistogramEqualizationImageFilter,Full-volume
AddImageFilter,Slice-wise
AdditiveGaussianNoiseImageFilter,Slice-wise
AffineTransform,Full-volume
AggregateLabelMapFilter,Slice-wise
AndImageFilter,Slice-wise
AntiAliasBinaryImageFilter,Full-volume
ApproximateSignedDistanceMapImageFilter,Full-volume
AreaClosingImageFilter,Slice-wise
AreaOpeningImageFilter,Slice-wise
AsinImageFilter,Slice-wise
Atan2ImageFilter,Slice-wise
AtanImageFilter,Slice-wise
BSplineDecompositionImageFilter,Slice-wise
BSplineTransform,Full-volume
BSplineTransformInitializerFilter,Full-volume
BilateralImageFilter,Rolling-window
BinShrinkImageFilter,Slice-wise
BinaryClosingByReconstructionImageFilter,Slice-wise
BinaryContourImageFilter,Slice-wise
BinaryDilateImageFilter,Slice-wise
BinaryErodeImageFilter,Slice-wise
BinaryFillholeImageFilter,Slice-wise
BinaryGrindPeakImageFilter,Slice-wise
BinaryImageToLabelMapFilter,Slice-wise
BinaryMagnitudeImageFilter,Slice-wise
BinaryMedianImageFilter,Rolling-window
BinaryMinMaxCurvatureFlowImageFilter,Rolling-window
BinaryMorphologicalClosingImageFilter,Rolling-window
BinaryMorphologicalOpeningImageFilter,Rolling-window
BinaryNotImageFilter,Slice-wise
BinaryOpeningByReconstructionImageFilter,Slice-wise
BinaryProjectionImageFilter,Slice-wise
BinaryPruningImageFilter,Slice-wise
BinaryReconstructionByDilationImageFilter,Slice-wise
BinaryReconstructionByErosionImageFilter,Slice-wise
BinaryThinningImageFilter,Slice-wise
BinaryThresholdImageFilter,Slice-wise
BinaryThresholdProjectionImageFilter,Slice-wise
BinomialBlurImageFilter,Slice-wise
BitwiseNotImageFilter,Slice-wise
BlackTopHatImageFilter,Slice-wise
BoundedReciprocalImageFilter,Slice-wise
BoxMeanImageFilter,Slice-wise
BoxSigmaImageFilter,Slice-wise
CannyEdgeDetectionImageFilter,Slice-wise
CannySegmentationLevelSetImageFilter,Slice-wise
CastImageFilter,Slice-wise
CenteredTransformInitializerFilter,Full-volume
