name, estimatedPeakMemory, peakMemory, peakImages, userTime
computeStats.out, 192, 64, 1, 1.88
connectedComponents.out, 131200, 131136, 130, 3.26
convolve3d.out, 123904, 17920, 17, 7.71
copy.out, 64, 64, 1, 1.65
empty.out, 0, , , 1.00
erode.out, 192, 576, 5, 5.76
finiteDiff3D.out, 41984, 7680, 8, 29.66
histogram.out, 192, 64, 1, 10.38
histogramShared.out, 256, 64, 1, 9.58
multiplyConstant.out, 256, 192, 3, 1.65
multiplyMask.out, 128, 192, 3, 1.61
normalize.out, , 1536, 3, 2.37
random.out, 64, 128, 2, 1.46
sharedImbalancedStreamer.out, , , , 0.82
sharedStreamer.out, 128, 2048, 4, 2.22
showImage.out, 64, 64, 1, 1.35
threshold.out, 512, 1024, 2, 1.77
transition.out, 41984, 10240, 13, 57.51
