template,mode,unknownCount,unknownFeatures,targetFeatures,emitted
bio-grayscale-grayClosing-64x64x64,one-unknown,1,GrayscaleClosing:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7,True
bio-grayscale-grayOpening-64x64x64,one-unknown,1,GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleOpening:type=UInt8:radius=3:windowSize=7,True
bio-grayscale-blackTopHat-64x64x64,one-unknown,1,BlackTopHat:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7,True
bio-grayscale-whiteTopHat-64x64x64,one-unknown,1,WhiteTopHat:type=UInt8:radius=3:windowSize=7,WhiteTopHat:type=UInt8:radius=3:windowSize=7,True
bio-grayscale-morphGradient-64x64x64,one-unknown,1,MorphologicalGradient:type=UInt8:radius=3:windowSize=7,MorphologicalGradient:type=UInt8:radius=3:windowSize=7,True
bio-grayscale-grayDilate-64x64x64,one-unknown,1,GrayscaleDilate:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-64x64x64,one-unknown,1,GrayscaleErode:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-whiteTopHat-morphGradient-64x64x64,triangular,2,MorphologicalGradient:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,MorphologicalGradient:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayOpening-grayErode-64x64x64,triangular,2,GrayscaleErode:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayDilate-morphGradient-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayDilate-whiteTopHat-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayDilate-blackTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayDilate-grayClosing-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayDilate-grayOpening-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayDilate-grayErode-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-morphGradient-64x64x64,triangular,2,GrayscaleErode:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-whiteTopHat-64x64x64,triangular,2,GrayscaleErode:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-blackTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-grayClosing-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-grayOpening-64x64x64,triangular,2,GrayscaleErode:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayErode-grayDilate-64x64x64,triangular,2,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,GrayscaleDilate:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-morphGradient-grayOpening-64x64x64,triangular,2,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleOpening:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-morphGradient-grayClosing-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-morphGradient-blackTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-morphGradient-whiteTopHat-64x64x64,triangular,2,MorphologicalGradient:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,MorphologicalGradient:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
