featureKey,supportCount,status
AddNormalNoise:type=Float64:mean=128.0:std=50.0,1,needs-probe-pattern-or-more-context
AddNormalNoise:type=UInt8:mean=128.0:std=50.0,1,needs-probe-pattern-or-more-context
AddSaltAndPepperNoise:type=UInt8:probability=0.02,1,needs-probe-pattern-or-more-context
AddShotNoise:type=Float64:scale=2.0,1,needs-probe-pattern-or-more-context
AddSpeckleNoise:type=Float64:std=0.5,1,needs-probe-pattern-or-more-context
AffineRegistration:maxIterations=1:initialLinearStep=0.02:initialTranslationStep=1.0:minStep=0.001:stepShrink=0.5,1,needs-probe-pattern-or-more-context
BinaryContour:fullyConnected=false:windowSize=7,1,needs-probe-pattern-or-more-context
BinaryMedian:radius=3:windowSize=7,1,needs-probe-pattern-or-more-context
BlackTopHat:type=UInt8:radius=3:windowSize=7,1,probe-emitted
Cast:sourceType=Float32:targetType=UInt8,2,needs-probe-pattern-or-more-context
Cast:sourceType=Float64:targetType=Float32,2,needs-probe-pattern-or-more-context
Cast:sourceType=Float64:targetType=Int8,2,needs-probe-pattern-or-more-context
Cast:sourceType=Float64:targetType=UInt8,13,needs-probe-pattern-or-more-context
Cast:sourceType=UInt64:targetType=UInt8,1,needs-probe-pattern-or-more-context
Cast:sourceType=UInt8:targetType=Float64,1,needs-probe-pattern-or-more-context
Chart:kind=Column,2,needs-probe-pattern-or-more-context
Clamp:type=Float64:lower=0.0:upper=255.0,1,needs-probe-pattern-or-more-context
Closing:radius=3,1,needs-probe-pattern-or-more-context
CollapseComponentLabels:windowSize=7:translationTable=<input>,1,needs-probe-pattern-or-more-context
ComponentTranslationTable:windowSize=7,1,needs-probe-pattern-or-more-context
ComputeStats,2,needs-probe-pattern-or-more-context
ConnectedComponents:windowSize=7,1,needs-probe-pattern-or-more-context
"Convolve:kernel=Image<float>.ofArray3D(Array3D.create 3 3 3 (1.0 / 27.0), ""average3x3x3""):outputRegionMode=Same:boundaryCondition=ZeroFluxNeumannPad:windowSize=7",1,needs-probe-pattern-or-more-context
CorrectBias:type=Float64:model=<input>,1,needs-probe-pattern-or-more-context
CorrectBiasMasked:type=Float64:model=<input>,1,needs-probe-pattern-or-more-context
CreateByEuler2DTransform:type=UInt8:width=64:height=64:depth=64:boxSize=16:transform=AntiDiagonal,1,needs-probe-pattern-or-more-context
CreateByEuler2DTransform:type=UInt8:width=64:height=64:depth=64:boxSize=16:transform=Diagonal,1,needs-probe-pattern-or-more-context
CreateByEuler2DTransform:type=UInt8:width=64:height=64:depth=64:boxSize=16:transform=TopDown,1,needs-probe-pattern-or-more-context
Dilate:radius=3,1,needs-probe-pattern-or-more-context
Erode:radius=3,1,needs-probe-pattern-or-more-context
EstimateHistogram:type=Float64:slices=16:down=4:estimator=DKWAndHoldout:confidence=0.95,1,needs-probe-pattern-or-more-context
FFT:type=Float64:chunkX=16:chunkY=16:chunkZ=8,1,needs-probe-pattern-or-more-context
FillSmallHoles:maximumVolume=128:connectivity=TwentySix,1,needs-probe-pattern-or-more-context
FiniteDiff:direction=0:order=1,1,needs-probe-pattern-or-more-context
FitBiasModel:type=Float64:order=2:depth=256,1,needs-probe-pattern-or-more-context
FitBiasModelMasked:type=Float64:order=2:depth=256,1,needs-probe-pattern-or-more-context
Forstner3DKeypoints:type=Float64:sigma=3.0:rho=1.5:threshold=0.1:stride=16,1,needs-probe-pattern-or-more-context
Gradient:order=1:windowSize=7,1,needs-probe-pattern-or-more-context
GradientMagnitude:type=Float64:windowSize=7,1,needs-probe-pattern-or-more-context
GrayscaleClosing:type=UInt8:radius=3:windowSize=7,1,probe-emitted
GrayscaleDilate:type=UInt8:radius=3:windowSize=7,1,needs-probe-pattern-or-more-context
GrayscaleErode:type=UInt8:radius=3:windowSize=7,1,needs-probe-pattern-or-more-context
GrayscaleOpening:type=UInt8:radius=3:windowSize=7,1,probe-emitted
Harris3DKeypoints:type=Float64:sigma=3.0:rho=1.5:k=0.04:threshold=0.1:stride=16,1,needs-probe-pattern-or-more-context
HessianKeypoints:type=Float64:sigma=3.0:responseKind=Blob:threshold=0.1:stride=16,1,needs-probe-pattern-or-more-context
Histogram:binWidth=100,1,needs-probe-pattern-or-more-context
HistogramEqualization:type=UInt8:histogram=<input>,1,needs-probe-pattern-or-more-context
ImHistogram:firstLeftEdge=0.0:lastLeftEdge=255.0:bins=256,1,needs-probe-pattern-or-more-context
ImHistogram:firstLeftEdge=50.0:lastLeftEdge=255.0:bins=64,1,needs-probe-pattern-or-more-context
ImHistogramData:firstLeftEdge=0.0:lastLeftEdge=255.0:bins=256,5,needs-probe-pattern-or-more-context
ImageOpImage:operation=*:type=Float64,2,needs-probe-pattern-or-more-context
ImageOpImage:operation=*:type=UInt8,2,needs-probe-pattern-or-more-context
ImageOpImage:operation=max:type=UInt8,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=*:type=Float64:value=<input>,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=*:type=UInt8:value=2,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=*:type=UInt8:value=255,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=+:type=Float64:value=1.0,2,needs-probe-pattern-or-more-context
ImageOpScalar:operation=+:type=Float64:value=2.0,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=+:type=UInt8:value=1,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=-:type=Float64:value=<input>,1,needs-probe-pattern-or-more-context
ImageOpScalar:operation=/:type=UInt8:value=255,2,needs-probe-pattern-or-more-context
IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0,4,needs-probe-pattern-or-more-context
IntensityStretch:type=Float64:inputMinimum=<input>:inputMaximum=<input>:outputMinimum=0.0:outputMaximum=255.0,1,needs-probe-pattern-or-more-context
IntensityStretch:type=UInt8:inputMinimum=0.0:inputMaximum=1.0:outputMinimum=0.0:outputMaximum=255.,2,needs-probe-pattern-or-more-context
IntensityStretch:type=UInt8:inputMinimum=0.0:inputMaximum=255.:outputMinimum=0.0:outputMaximum=1.0,1,needs-probe-pattern-or-more-context
InvFFT:chunkX=16:chunkY=16:chunkZ=8,1,needs-probe-pattern-or-more-context
Laplacian:type=Float64:windowSize=7,1,needs-probe-pattern-or-more-context
MarchingCubes:type=UInt8:surfaceValue=0.5,2,needs-probe-pattern-or-more-context
MeasureObjects,1,needs-probe-pattern-or-more-context
MomentsThresholdFromHistogram:histogram=<input>,1,needs-probe-pattern-or-more-context
MorphologicalGradient:type=UInt8:radius=3:windowSize=7,1,probe-emitted
NormalNoise:type=Float32:width=64:height=64:depth=64:mean=128.0:std=25.0,1,needs-probe-pattern-or-more-context
NormalNoise:type=Float64:width=64:height=64:depth=64:mean=0.0:std=50.0,1,needs-probe-pattern-or-more-context
NormalNoise:type=Float64:width=64:height=64:depth=64:mean=128.0:std=25.0,5,needs-probe-pattern-or-more-context
ObjectSizeStats,1,needs-probe-pattern-or-more-context
ObjectSizes,1,needs-probe-pattern-or-more-context
Opening:radius=3,1,needs-probe-pattern-or-more-context
OtsuThresholdFromHistogram:histogram=<input>,1,needs-probe-pattern-or-more-context
PCA:components=3,1,needs-probe-pattern-or-more-context
PaintObjects:width=512:height=384,1,needs-probe-pattern-or-more-context
"PermuteAxes:axes=(0,2,1):tileSize=32",1,needs-probe-pattern-or-more-context
"PermuteAxes:axes=(0,2,1):tileSize=64",1,needs-probe-pattern-or-more-context
Print,7,needs-probe-pattern-or-more-context
Quantiles:histogram=<input>:q1=0.01:useQ2=true:q2=0.99:useQ3=false:q3=0.99:useQ4=false:q4=0.25:useQ5=false:q5=0.75,1,needs-probe-pattern-or-more-context
Read:type=Float32:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,calibration-boilerplate
Read:type=Float64:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,2,calibration-boilerplate
Read:type=Float64:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,6,calibration-boilerplate
Read:type=UInt64:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,calibration-boilerplate
Read:type=UInt8:format=Image stack:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,7,calibration-boilerplate
Read:type=UInt8:format=Image stack:slabDepth=8:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,24,calibration-boilerplate
Read:type=UInt8:format=Volume file:slabDepth=1:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,calibration-boilerplate
ReadPointSet,1,needs-probe-pattern-or-more-context
ReadRandom:type=Float64:format=Image stack:depth=20:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,needs-probe-pattern-or-more-context
ReadRandom:type=Float64:format=Image stack:depth=24:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,1,needs-probe-pattern-or-more-context
ReadRandom:type=UInt8:format=Image stack:depth=10:multiscaleIndex=0:datasetIndex=0:timepoint=0:channel=0:maxParallelChunks=0:frameAxis=0,2,needs-probe-pattern-or-more-context
